Venue Number,Venue,Chosen by,Reviewer,Proximity /Access,Taste,Value,Service,Vibe,Total,Comment
1,Cumbia,Finn,Ed,16,17,15,19,16,83,Decent paella
1,Cumbia,Finn,Finn,16,16,16,18,15,81,
2,Est Ovest,Emily P,Ed,17,18,16,17,18,86,Decent napoli style pizza albeit in electric oven
3,Greek on Halifax,Lily,Jen,15,17,17,16,16,81,Great to have options to share amongst the team
3,Greek on Halifax,Lily,Nick,17,16,14,16,17,80,a little pricey. Recommend sharing a variety of dishes.
3,Greek on Halifax,Lily,Ed,15,18,14,15,16,78,Good vibe sitting outside and nice food to share. A bit expensive at $40 per head
4,La Trattoria,Grace,Ben,18,18,15,19,19,89,Great vibe and service. Food and beer a bit pricey but very tasty.
4,La Trattoria,Grace,Ed,17,15,15,18,18,83,Good old school vibes & service. Food a little salty and oily. $37 per head
4,La Trattoria,Grace,Julien,17,14,12,18,19,80,"Great vibes and good service. I had a lasagne, portion size was ever so slightly better than average for the price paid. It tasted good, but for the price paid I expected something a little more delicious."
5,Mexican Society,Elisha,Ben,13,18,16,16,15,78,Rabit nachos rocked with a good size
5,Mexican Society,Elisha,Lily,15,19,16,15,12,77,"Food was fingerlicking good and reasonable portions, atmosphere lacking"
5,Mexican Society,Elisha,Ed,15,17,16,15,12,75,Lamb & beef tacos instinguishable from each other
6,Star of Siam,Dan,Dan,17,20,19,20,18,94,Drunken Noodles were off the chart
6,Star of Siam,Dan,Finn,16,19,19,20,18,92,
6,Star of Siam,Dan,Ed,16,19,17,20,17,89,Green chicken curry has a nice kick
7,T Chow,Jen,Jen,18,18,18,16,16,86,"Agree with Ed's comments above, $10pp per bottle, ouch"
7,T Chow,Jen,Ed,17,17,17,15,17,83,$10 corkage PP is an unexpected stinger
8,TA Town Square Soi 38,Emily P,Ed,19,15,8,20,20,82,$18 for a smallish hot dog
9,Wakefield Hotel,Julien,Jen,19,17,17,17,14,84,
9,Wakefield Hotel,Julien,Elisha,19,17,17,17,14,84,"Pretty decent chicken burger, quick to bring out meals. Need better tonic water."
9,Wakefield Hotel,Julien,Ed,19,16,17,17,14,83,$35 for schnitty and beer. Quick service
9,Wakefield Hotel,Julien,Nick,19,15,17,17,14,82,too much cheese on the salad for me. Unpleasant establishment smell?
10,Papa Rich,Jordan,Nick,15,18,18,17,16,84,i enjoyed the roti with beef rendang
10,Papa Rich,Jordan,Ed,15,19,18,17,14,83,$25 for roti with beef rendang & a dinosaur milo = bargain
